feature,CD,HYP,MI,NORM,STTC,mean_importance,feature_type
clinical_lead6_q_r_ratio_mean,0.0,0.13339025955462158,1.8977823790179749,0.5776046427669063,0.14894056536142758,0.551543569340186,clinical
clinical_lead1_q_width_mean_ms,0.10088870206963264,0.08913607327535283,0.7011010245895714,1.1061891469471377,0.6908561976763778,0.5376342289116145,clinical
clinical_lead11_t_inversion_ratio,0.03986438287231861,0.4323909993880296,0.6759099785190783,0.887627262215853,0.6452416655803613,0.5362068577151281,clinical
clinical_lead11_st_deviation_mean,0.2036985416294438,0.7076712227543168,0.12359300183208985,0.37255346211176965,1.259342996479829,0.5333718449614898,clinical
clinical_lead6_qrs_min_mean,0.9562718965040978,0.30646652279712494,0.3915845387592213,0.9408132063025573,0.0,0.5190272328726002,clinical
clinical_qrs_global_ptp_mean,0.0,1.6600222312818722,0.08140011852632976,0.22825335598375787,0.5357956311580954,0.5010942673900111,clinical
clinical_lead4_qrs_max_mean,1.2846973720130221,0.04783912516665851,0.2677546169104702,0.6250731155711496,0.2667865745311826,0.49843016083849656,clinical
clinical_lead9_q_depth_mean,0.0,0.36074541557692796,0.882093342877394,1.1699747249540287,0.05183694065934639,0.49293008481353934,clinical
clinical_lead2_st_slope_mean,0.9059155113155057,0.21732715450460477,0.14499961125875005,0.508743550932974,0.6179221439374679,0.47898159438986043,clinical
lead11_spec_entropy,0.9119389519783793,0.4512709974246054,0.2830396608263361,0.18715763937299407,0.48842564601729127,0.4643665791239212,baseline
clinical_lead10_st_slope_mean,1.938296285708517,0.06409607912446008,0.0,0.05696611869281283,0.2582030493159172,0.4635123065683414,clinical
clinical_lead12_st_deviation_mean,0.0,1.1292037982618157,0.04728685857180749,0.14121345732251137,0.9988208413761526,0.46330499110645745,clinical
clinical_lead9_st_slope_mean,1.7151223699082057,0.24500463661296343,0.18685539310418217,0.07856043493070564,0.0,0.4451085669112114,clinical
lead11_std_diff,0.15674285473976962,0.7241437267210972,0.19726000007987748,0.376509195358725,0.751311689009119,0.4411934931817177,baseline
lead3_spec_entropy,0.9895899010819857,0.14834310106044096,0.6224091934849475,0.32800041960738074,0.10327013456867772,0.43832254996068654,baseline
clinical_lead6_qrs_max_mean,0.025017047561785053,0.06683011877500944,1.8000096578984375,0.13049816956833318,0.16463080329717433,0.4373971594201479,clinical
